Date,Open,High,Low,Close,Adj Close,Volume
2014-08-06,1.682500,1.725000,1.680000,1.717500,1.443197,1888800
2014-08-07,1.735000,1.735000,1.712500,1.717500,1.443197,706400
2014-08-08,1.717500,1.717500,1.675000,1.675000,1.407484,4538400
2014-08-11,1.685000,1.697500,1.685000,1.685000,1.415887,574000
2014-08-12,1.687500,1.687500,1.682500,1.685000,1.415887,3167200
2014-08-13,1.690000,1.750000,1.685000,1.750000,1.470506,292800
2014-08-14,1.687500,1.730000,1.687500,1.722500,1.447398,224800
2014-08-15,1.722500,1.722500,1.700000,1.700000,1.428492,87200
2014-08-18,1.702500,1.702500,1.680000,1.682500,1.413787,355200
2014-08-19,1.685000,1.725000,1.685000,1.725000,1.449499,411200
2014-08-20,1.722500,1.722500,1.702500,1.715000,1.441096,239600
2014-08-21,1.695000,1.735000,1.695000,1.715000,1.441096,762800
2014-08-22,1.700000,1.725000,1.700000,1.725000,1.449499,917200
2014-08-25,1.720000,1.727500,1.717500,1.722500,1.447398,1404800
2014-08-26,1.730000,1.730000,1.705000,1.707500,1.434794,285200
2014-08-27,1.712500,1.725000,1.700000,1.712500,1.438995,269200
2014-08-28,1.707500,1.725000,1.707500,1.725000,1.449499,802400
2014-08-29,1.737500,1.737500,1.695000,1.725000,1.449499,432400
2014-09-02,1.725000,1.737500,1.700000,1.725000,1.449499,1168000
2014-09-03,1.722500,1.735000,1.710000,1.725000,1.449499,1081600
2014-09-04,1.725000,1.725000,1.720000,1.725000,1.449499,3058800
2014-09-05,1.725000,1.725000,1.700000,1.710000,1.436895,187600
2014-09-08,1.710000,1.717500,1.705000,1.707500,1.469160,1402000
2014-09-09,1.700000,1.715000,1.700000,1.710000,1.471311,1099600
2014-09-10,1.700000,1.725000,1.700000,1.725000,1.484217,1383600
2014-09-11,1.727500,1.730000,1.722500,1.730000,1.488520,456400
2014-09-12,1.732500,1.732500,1.725000,1.730000,1.488520,1065200
2014-09-15,1.725000,1.732500,1.700000,1.700000,1.462707,1309200
2014-09-17,1.702500,1.725000,1.702500,1.722500,1.482066,397600
2014-09-18,1.715000,1.737500,1.715000,1.737500,1.494973,1081600
2014-09-19,1.737500,1.762500,1.737500,1.755000,1.510030,2751200
2014-09-22,1.750000,1.757500,1.747500,1.747500,1.503577,278800
2014-09-23,1.745000,1.745000,1.745000,1.745000,1.501426,195200
2014-09-24,1.742500,1.750000,1.742500,1.750000,1.505728,67200
2014-09-25,1.747500,1.747500,1.737500,1.742500,1.499275,7102800
2014-09-26,1.737500,1.742500,1.737500,1.742500,1.499275,193200
2014-09-29,1.745000,1.755000,1.740000,1.755000,1.510030,1445200
2014-09-30,1.752500,1.777500,1.752500,1.770000,1.522936,1881200
2014-10-01,1.775000,1.780000,1.767500,1.777500,1.529389,2587600
2014-10-02,1.775000,1.775000,1.750000,1.760000,1.514332,789600
2014-10-03,1.760000,1.775000,1.757500,1.760000,1.514332,1200000
2014-10-07,1.767500,1.775000,1.750000,1.755000,1.510030,706400
2014-10-08,1.755000,1.755000,1.712500,1.722500,1.482066,1021600
2014-10-09,1.722500,1.750000,1.722500,1.750000,1.505728,14000
2014-10-10,1.750000,1.762500,1.722500,1.725000,1.484217,500000
2014-10-13,1.725000,1.725000,1.707500,1.707500,1.469160,1058400
2014-10-14,1.700000,1.700000,1.687500,1.700000,1.462707,392800
2014-10-15,1.675000,1.700000,1.675000,1.680000,1.445499,148000
2014-10-16,1.662500,1.665000,1.645000,1.650000,1.419686,4525200
2014-10-17,1.640000,1.670000,1.640000,1.662500,1.430441,2044000
2014-10-20,1.687500,1.697500,1.667500,1.675000,1.441197,566000
2014-10-21,1.675000,1.717500,1.675000,1.717500,1.477764,244800
2014-10-22,1.717500,1.717500,1.717500,1.717500,1.477764,0
2014-10-24,1.747500,1.750000,1.725000,1.745000,1.501426,1196800
2014-10-27,1.762500,1.762500,1.727500,1.750000,1.505728,2372400
2014-10-28,1.750000,1.750000,1.737500,1.737500,1.494973,15200
2014-10-29,1.737500,1.752500,1.737500,1.750000,1.505728,2692400
2014-10-30,1.752500,1.752500,1.747500,1.750000,1.505728,205200
